STRUCTURE,STRUCTURE_ID,STRUCTURE_NAME,ACTION,LOCATION,Country,INDICATOR,Indicator,MEASURE,Measure,INEQUALITY,Inequality,OBS_VALUE,Observation Value,OBS_STATUS,Observation Status,UNIT_MEASURE,Unit of Measures,UNIT_MULT,Multiplier,BASE_PER,Base reference period
DATAFLOW,OECD:DF_BLI2015(1.0),Better Life Index - Edition 2015,I,LUX,Luxembourg,HO_BASE,Dwellings without basic facilities,L,Value,TOT,Total,0.1,,A,,PC,Percentage,0,Units,,
DATAFLOW,OECD:DF_BLI2015(1.0),Better Life Index - Edition 2015,I,MEX,Mexico,HO_BASE,Dwellings without basic facilities,L,Value,TOT,Total,4.2,,A,,PC,Percentage,0,Units,,
DATAFLOW,OECD:DF_BLI2015(1.0),Better Life Index - Edition 2015,I,NLD,Netherlands,HO_BASE,Dwellings without basic facilities,L,Value,TOT,Total,0,,A,,PC,Percentage,0,Units,,
DATAFLOW,OECD:DF_BLI2015(1.0),Better Life Index - Edition 2015,I,NZL,New Zealand,HO_BASE,Dwellings without basic facilities,L,Value,TOT,Total,0.2,,E,,PC,Percentage,0,Units,,
DATAFLOW,OECD:DF_BLI2015(1.0),Better Life Index - Edition 2015,I,NOR,Norway,HO_BASE,Dwellings without basic facilities,L,Value,TOT,Total,0.3,,A,,PC,Percentage,0,Units,,
DATAFLOW,OECD:DF_BLI2015(1.0),Better Life Index - Edition 2015,I,POL,Poland,HO_BASE,Dwellings without basic facilities,L,Value,TOT,Total,3.2,,A,,PC,Percentage,0,Units,,
DATAFLOW,OECD:DF_BLI2015(1.0),Better Life Index - Edition 2015,I,PRT,Portugal,HO_BASE,Dwellings without basic facilities,L,Value,TOT,Total,0.9,,A,,PC,Percentage,0,Units,,
DATAFLOW,OECD:DF_BLI2015(1.0),Better Life Index - Edition 2015,I,SVK,Slovak Republic,HO_BASE,Dwellings without basic facilities,L,Value,TOT,Total,0.6,,A,,PC,Percentage,0,Units,,
DATAFLOW,OECD:DF_BLI2015(1.0),Better Life Index - Edition 2015,I,ESP,Spain,HO_BASE,Dwellings without basic facilities,L,Value,TOT,Total,0.1,,A,,PC,Percentage,0,Units,,
DATAFLOW,OECD:DF_BLI2015(1.0),Better Life Index - Edition 2015,I,SWE,Sweden,HO_BASE,Dwellings without basic facilities,L,Value,TOT,Total,0,,A,,PC,Percentage,0,Units,,
DATAFLOW,OECD:DF_BLI2015(1.0),Better Life Index - Edition 2015,I,CHE,Switzerland,HO_BASE,Dwellings without basic facilities,L,Value,TOT,Total,0,,A,,PC,Percentage,0,Units,,
DATAFLOW,OECD:DF_BLI2015(1.0),Better Life Index - Edition 2015,I,TUR,Türkiye,HO_BASE,Dwellings without basic facilities,L,Value,TOT,Total,12.7,,A,,PC,Percentage,0,Units,,
DATAFLOW,OECD:DF_BLI2015(1.0),Better Life Index - Edition 2015,I,GBR,United Kingdom,HO_BASE,Dwellings without basic facilities,L,Value,TOT,Total,0.2,,A,,PC,Percentage,0,Units,,
DATAFLOW,OECD:DF_BLI2015(1.0),Better Life Index - Edition 2015,I,USA,United States,HO_BASE,Dwellings without basic facilities,L,Value,TOT,Total,0.1,,A,,PC,Percentage,0,Units,,
DATAFLOW,OECD:DF_BLI2015(1.0),Better Life Index - Edition 2015,I,BRA,Brazil,HO_BASE,Dwellings without basic facilities,L,Value,TOT,Total,6.7,,A,,PC,Percentage,0,Units,,
DATAFLOW,OECD:DF_BLI2015(1.0),Better Life Index - Edition 2015,I,CHL,Chile,HO_BASE,Dwellings without basic facilities,L,Value,TOT,Total,9.4,,A,,PC,Percentage,0,Units,,
DATAFLOW,OECD:DF_BLI2015(1.0),Better Life Index - Edition 2015,I,EST,Estonia,HO_BASE,Dwellings without basic facilities,L,Value,TOT,Total,8.1,,A,,PC,Percentage,0,Units,,
DATAFLOW,OECD:DF_BLI2015(1.0),Better Life Index - Edition 2015,I,ISR,Israel,HO_BASE,Dwellings without basic facilities,L,Value,TOT,Total,3.7,,E,,PC,Percentage,0,Units,,
DATAFLOW,OECD:DF_BLI2015(1.0),Better Life Index - Edition 2015,I,RUS,Russia,HO_BASE,Dwellings without basic facilities,L,Value,TOT,Total,15.1,,A,,PC,Percentage,0,Units,,
DATAFLOW,OECD:DF_BLI2015(1.0),Better Life Index - Edition 2015,I,SVN,Slovenia,HO_BASE,Dwellings without basic facilities,L,Value,TOT,Total,0.5,,A,,PC,Percentage,0,Units,,
DATAFLOW,OECD:DF_BLI2015(1.0),Better Life Index - Edition 2015,I,OECD,OECD - Total,HO_BASE,Dwellings without basic facilities,L,Value,TOT,Total,2.4,,A,,PC,Percentage,0,Units,,
DATAFLOW,OECD:DF_BLI2015(1.0),Better Life Index - Edition 2015,I,AUS,Australia,HO_BASE,Dwellings without basic facilities,L,Value,MN,Men,1.1,,E,,PC,Percentage,0,Units,,
DATAFLOW,OECD:DF_BLI2015(1.0),Better Life Index - Edition 2015,I,AUT,Austria,HO_BASE,Dwellings without basic facilities,L,Value,MN,Men,1,,E,,PC,Percentage,0,Units,,
DATAFLOW,OECD:DF_BLI2015(1.0),Better Life Index - Edition 2015,I,BEL,Belgium,HO_BASE,Dwellings without basic facilities,L,Value,MN,Men,2,,E,,PC,Percentage,0,Units,,
DATAFLOW,OECD:DF_BLI2015(1.0),Better Life Index - Edition 2015,I,CAN,Canada,HO_BASE,Dwellings without basic facilities,L,Value,MN,Men,0.2,,E,,PC,Percentage,0,Units,,
DATAFLOW,OECD:DF_BLI2015(1.0),Better Life Index - Edition 2015,I,CZE,Czechia,HO_BASE,Dwellings without basic facilities,L,Value,MN,Men,0.9,,E,,PC,Percentage,0,Units,,
DATAFLOW,OECD:DF_BLI2015(1.0),Better Life Index - Edition 2015,I,DNK,Denmark,HO_BASE,Dwellings without basic facilities,L,Value,MN,Men,0.9,,E,,PC,Percentage,0,Units,,
DATAFLOW,OECD:DF_BLI2015(1.0),Better Life Index - Edition 2015,I,FIN,Finland,HO_BASE,Dwellings without basic facilities,L,Value,MN,Men,0.6,,E,,PC,Percentage,0,Units,,
DATAFLOW,OECD:DF_BLI2015(1.0),Better Life Index - Edition 2015,I,FRA,France,HO_BASE,Dwellings without basic facilities,L,Value,MN,Men,0.5,,E,,PC,Percentage,0,Units,,
DATAFLOW,OECD:DF_BLI2015(1.0),Better Life Index - Edition 2015,I,DEU,Germany,HO_BASE,Dwellings without basic facilities,L,Value,MN,Men,0.1,,E,,PC,Percentage,0,Units,,
DATAFLOW,OECD:DF_BLI2015(1.0),Better Life Index - Edition 2015,I,GRC,Greece,HO_BASE,Dwellings without basic facilities,L,Value,MN,Men,0.7,,E,,PC,Percentage,0,Units,,
DATAFLOW,OECD:DF_BLI2015(1.0),Better Life Index - Edition 2015,I,HUN,Hungary,HO_BASE,Dwellings without basic facilities,L,Value,MN,Men,4.8,,E,,PC,Percentage,0,Units,,
DATAFLOW,OECD:DF_BLI2015(1.0),Better Life Index - Edition 2015,I,ISL,Iceland,HO_BASE,Dwellings without basic facilities,L,Value,MN,Men,0.4,,E,,PC,Percentage,0,Units,,
DATAFLOW,OECD:DF_BLI2015(1.0),Better Life Index - Edition 2015,I,IRL,Ireland,HO_BASE,Dwellings without basic facilities,L,Value,MN,Men,0.2,,E,,PC,Percentage,0,Units,,
DATAFLOW,OECD:DF_BLI2015(1.0),Better Life Index - Edition 2015,I,JPN,Japan,HO_BASE,Dwellings without basic facilities,L,Value,MN,Men,6.4,,E,,PC,Percentage,0,Units,,
DATAFLOW,OECD:DF_BLI2015(1.0),Better Life Index - Edition 2015,I,KOR,Korea,HO_BASE,Dwellings without basic facilities,L,Value,MN,Men,4.2,,E,,PC,Percentage,0,Units,,
DATAFLOW,OECD:DF_BLI2015(1.0),Better Life Index - Edition 2015,I,LUX,Luxembourg,HO_BASE,Dwellings without basic facilities,L,Value,MN,Men,0.1,,E,,PC,Percentage,0,Units,,
DATAFLOW,OECD:DF_BLI2015(1.0),Better Life Index - Edition 2015,I,MEX,Mexico,HO_BASE,Dwellings without basic facilities,L,Value,MN,Men,4.2,,E,,PC,Percentage,0,Units,,
DATAFLOW,OECD:DF_BLI2015(1.0),Better Life Index - Edition 2015,I,NLD,Netherlands,HO_BASE,Dwellings without basic facilities,L,Value,MN,Men,0,,E,,PC,Percentage,0,Units,,
DATAFLOW,OECD:DF_BLI2015(1.0),Better Life Index - Edition 2015,I,NZL,New Zealand,HO_BASE,Dwellings without basic facilities,L,Value,MN,Men,0.2,,E,,PC,Percentage,0,Units,,
DATAFLOW,OECD:DF_BLI2015(1.0),Better Life Index - Edition 2015,I,NOR,Norway,HO_BASE,Dwellings without basic facilities,L,Value,MN,Men,0.3,,E,,PC,Percentage,0,Units,,
DATAFLOW,OECD:DF_BLI2015(1.0),Better Life Index - Edition 2015,I,POL,Poland,HO_BASE,Dwellings without basic facilities,L,Value,MN,Men,3.2,,E,,PC,Percentage,0,Units,,
DATAFLOW,OECD:DF_BLI2015(1.0),Better Life Index - Edition 2015,I,PRT,Portugal,HO_BASE,Dwellings without basic facilities,L,Value,MN,Men,0.9,,E,,PC,Percentage,0,Units,,
DATAFLOW,OECD:DF_BLI2015(1.0),Better Life Index - Edition 2015,I,SVK,Slovak Republic,HO_BASE,Dwellings without basic facilities,L,Value,MN,Men,0.6,,E,,PC,Percentage,0,Units,,
DATAFLOW,OECD:DF_BLI2015(1.0),Better Life Index - Edition 2015,I,ESP,Spain,HO_BASE,Dwellings without basic facilities,L,Value,MN,Men,0.1,,E,,PC,Percentage,0,Units,,
DATAFLOW,OECD:DF_BLI2015(1.0),Better Life Index - Edition 2015,I,SWE,Sweden,HO_BASE,Dwellings without basic facilities,L,Value,MN,Men,0,,E,,PC,Percentage,0,Units,,
DATAFLOW,OECD:DF_BLI2015(1.0),Better Life Index - Edition 2015,I,CHE,Switzerland,HO_BASE,Dwellings without basic facilities,L,Value,MN,Men,0,,E,,PC,Percentage,0,Units,,
DATAFLOW,OECD:DF_BLI2015(1.0),Better Life Index - Edition 2015,I,TUR,Türkiye,HO_BASE,Dwellings without basic facilities,L,Value,MN,Men,12.7,,E,,PC,Percentage,0,Units,,
DATAFLOW,OECD:DF_BLI2015(1.0),Better Life Index - Edition 2015,I,GBR,United Kingdom,HO_BASE,Dwellings without basic facilities,L,Value,MN,Men,0.2,,E,,PC,Percentage,0,Units,,
DATAFLOW,OECD:DF_BLI2015(1.0),Better Life Index - Edition 2015,I,USA,United States,HO_BASE,Dwellings without basic facilities,L,Value,MN,Men,0.1,,E,,PC,Percentage,0,Units,,
DATAFLOW,OECD:DF_BLI2015(1.0),Better Life Index - Edition 2015,I,BRA,Brazil,HO_BASE,Dwellings without basic facilities,L,Value,MN,Men,6.7,,E,,PC,Percentage,0,Units,,
DATAFLOW,OECD:DF_BLI2015(1.0),Better Life Index - Edition 2015,I,CHL,Chile,HO_BASE,Dwellings without basic facilities,L,Value,MN,Men,9.4,,E,,PC,Percentage,0,Units,,
DATAFLOW,OECD:DF_BLI2015(1.0),Better Life Index - Edition 2015,I,EST,Estonia,HO_BASE,Dwellings without basic facilities,L,Value,MN,Men,8.1,,E,,PC,Percentage,0,Units,,
DATAFLOW,OECD:DF_BLI2015(1.0),Better Life Index - Edition 2015,I,ISR,Israel,HO_BASE,Dwellings without basic facilities,L,Value,MN,Men,3.7,,E,,PC,Percentage,0,Units,,
DATAFLOW,OECD:DF_BLI2015(1.0),Better Life Index - Edition 2015,I,RUS,Russia,HO_BASE,Dwellings without basic facilities,L,Value,MN,Men,15.1,,E,,PC,Percentage,0,Units,,
DATAFLOW,OECD:DF_BLI2015(1.0),Better Life Index - Edition 2015,I,SVN,Slovenia,HO_BASE,Dwellings without basic facilities,L,Value,MN,Men,0.5,,E,,PC,Percentage,0,Units,,
DATAFLOW,OECD:DF_BLI2015(1.0),Better Life Index - Edition 2015,I,AUS,Australia,HO_BASE,Dwellings without basic facilities,L,Value,WMN,Women,1.1,,E,,PC,Percentage,0,Units,,
DATAFLOW,OECD:DF_BLI2015(1.0),Better Life Index - Edition 2015,I,AUT,Austria,HO_BASE,Dwellings without basic facilities,L,Value,WMN,Women,1,,E,,PC,Percentage,0,Units,,
DATAFLOW,OECD:DF_BLI2015(1.0),Better Life Index - Edition 2015,I,BEL,Belgium,HO_BASE,Dwellings without basic facilities,L,Value,WMN,Women,2,,E,,PC,Percentage,0,Units,,
DATAFLOW,OECD:DF_BLI2015(1.0),Better Life Index - Edition 2015,I,CAN,Canada,HO_BASE,Dwellings without basic facilities,L,Value,WMN,Women,0.2,,E,,PC,Percentage,0,Units,,
DATAFLOW,OECD:DF_BLI2015(1.0),Better Life Index - Edition 2015,I,CZE,Czechia,HO_BASE,Dwellings without basic facilities,L,Value,WMN,Women,0.9,,E,,PC,Percentage,0,Units,,
DATAFLOW,OECD:DF_BLI2015(1.0),Better Life Index - Edition 2015,I,DNK,Denmark,HO_BASE,Dwellings without basic facilities,L,Value,WMN,Women,0.9,,E,,PC,Percentage,0,Units,,
DATAFLOW,OECD:DF_BLI2015(1.0),Better Life Index - Edition 2015,I,FIN,Finland,HO_BASE,Dwellings without basic facilities,L,Value,WMN,Women,0.6,,E,,PC,Percentage,0,Units,,
DATAFLOW,OECD:DF_BLI2015(1.0),Better Life Index - Edition 2015,I,FRA,France,HO_BASE,Dwellings without basic facilities,L,Value,WMN,Women,0.5,,E,,PC,Percentage,0,Units,,
DATAFLOW,OECD:DF_BLI2015(1.0),Better Life Index - Edition 2015,I,DEU,Germany,HO_BASE,Dwellings without basic facilities,L,Value,WMN,Women,0.1,,E,,PC,Percentage,0,Units,,
DATAFLOW,OECD:DF_BLI2015(1.0),Better Life Index - Edition 2015,I,GRC,Greece,HO_BASE,Dwellings without basic facilities,L,Value,WMN,Women,0.7,,E,,PC,Percentage,0,Units,,
DATAFLOW,OECD:DF_BLI2015(1.0),Better Life Index - Edition 2015,I,HUN,Hungary,HO_BASE,Dwellings without basic facilities,L,Value,WMN,Women,4.8,,E,,PC,Percentage,0,Units,,
DATAFLOW,OECD:DF_BLI2015(1.0),Better Life Index - Edition 2015,I,ISL,Iceland,HO_BASE,Dwellings without basic facilities,L,Value,WMN,Women,0.4,,E,,PC,Percentage,0,Units,,
DATAFLOW,OECD:DF_BLI2015(1.0),Better Life Index - Edition 2015,I,IRL,Ireland,HO_BASE,Dwellings without basic facilities,L,Value,WMN,Women,0.2,,E,,PC,Percentage,0,Units,,
DATAFLOW,OECD:DF_BLI2015(1.0),Better Life Index - Edition 2015,I,ITA,Italy,HO_BASE,Dwellings without basic facilities,L,Value,WMN,Women,1.1,,E,,PC,Percentage,0,Units,,
DATAFLOW,OECD:DF_BLI2015(1.0),Better Life Index - Edition 2015,I,JPN,Japan,HO_BASE,Dwellings without basic facilities,L,Value,WMN,Women,6.4,,E,,PC,Percentage,0,Units,,
DATAFLOW,OECD:DF_BLI2015(1.0),Better Life Index - Edition 2015,I,KOR,Korea,HO_BASE,Dwellings without basic facilities,L,Value,WMN,Women,4.2,,E,,PC,Percentage,0,Units,,
DATAFLOW,OECD:DF_BLI2015(1.0),Better Life Index - Edition 2015,I,LUX,Luxembourg,HO_BASE,Dwellings without basic facilities,L,Value,WMN,Women,0.1,,E,,PC,Percentage,0,Units,,
DATAFLOW,OECD:DF_BLI2015(1.0),Better Life Index - Edition 2015,I,MEX,Mexico,HO_BASE,Dwellings without basic facilities,L,Value,WMN,Women,4.2,,E,,PC,Percentage,0,Units,,
DATAFLOW,OECD:DF_BLI2015(1.0),Better Life Index - Edition 2015,I,NLD,Netherlands,HO_BASE,Dwellings without basic facilities,L,Value,WMN,Women,0,,E,,PC,Percentage,0,Units,,
DATAFLOW,OECD:DF_BLI2015(1.0),Better Life Index - Edition 2015,I,NZL,New Zealand,HO_BASE,Dwellings without basic facilities,L,Value,WMN,Women,0.2,,E,,PC,Percentage,0,Units,,
DATAFLOW,OECD:DF_BLI2015(1.0),Better Life Index - Edition 2015,I,NOR,Norway,HO_BASE,Dwellings without basic facilities,L,Value,WMN,Women,0.3,,E,,PC,Percentage,0,Units,,
DATAFLOW,OECD:DF_BLI2015(1.0),Better Life Index - Edition 2015,I,POL,Poland,HO_BASE,Dwellings without basic facilities,L,Value,WMN,Women,3.2,,E,,PC,Percentage,0,Units,,
DATAFLOW,OECD:DF_BLI2015(1.0),Better Life Index - Edition 2015,I,PRT,Portugal,HO_BASE,Dwellings without basic facilities,L,Value,WMN,Women,0.9,,E,,PC,Percentage,0,Units,,
DATAFLOW,OECD:DF_BLI2015(1.0),Better Life Index - Edition 2015,I,SVK,Slovak Republic,HO_BASE,Dwellings without basic facilities,L,Value,WMN,Women,0.6,,E,,PC,Percentage,0,Units,,
DATAFLOW,OECD:DF_BLI2015(1.0),Better Life Index - Edition 2015,I,ESP,Spain,HO_BASE,Dwellings without basic facilities,L,Value,WMN,Women,0.1,,E,,PC,Percentage,0,Units,,
DATAFLOW,OECD:DF_BLI2015(1.0),Better Life Index - Edition 2015,I,SWE,Sweden,HO_BASE,Dwellings without basic facilities,L,Value,WMN,Women,0,,E,,PC,Percentage,0,Units,,
DATAFLOW,OECD:DF_BLI2015(1.0),Better Life Index - Edition 2015,I,CHE,Switzerland,HO_BASE,Dwellings without basic facilities,L,Value,WMN,Women,0,,E,,PC,Percentage,0,Units,,
DATAFLOW,OECD:DF_BLI2015(1.0),Better Life Index - Edition 2015,I,TUR,Türkiye,HO_BASE,Dwellings without basic facilities,L,Value,WMN,Women,12.7,,E,,PC,Percentage,0,Units,,
DATAFLOW,OECD:DF_BLI2015(1.0),Better Life Index - Edition 2015,I,GBR,United Kingdom,HO_BASE,Dwellings without basic facilities,L,Value,WMN,Women,0.2,,E,,PC,Percentage,0,Units,,
DATAFLOW,OECD:DF_BLI2015(1.0),Better Life Index - Edition 2015,I,SVK,Slovak Republic,HO_HISH,Housing expenditure,L,Value,WMN,Women,26,,E,,PC,Percentage,0,Units,,
DATAFLOW,OECD:DF_BLI2015(1.0),Better Life Index - Edition 2015,I,BRA,Brazil,HO_BASE,Dwellings without basic facilities,L,Value,WMN,Women,6.7,,E,,PC,Percentage,0,Units,,
DATAFLOW,OECD:DF_BLI2015(1.0),Better Life Index - Edition 2015,I,CHL,Chile,HO_BASE,Dwellings without basic facilities,L,Value,WMN,Women,9.4,,E,,PC,Percentage,0,Units,,
DATAFLOW,OECD:DF_BLI2015(1.0),Better Life Index - Edition 2015,I,EST,Estonia,HO_BASE,Dwellings without basic facilities,L,Value,WMN,Women,8.1,,E,,PC,Percentage,0,Units,,
DATAFLOW,OECD:DF_BLI2015(1.0),Better Life Index - Edition 2015,I,ISR,Israel,HO_BASE,Dwellings without basic facilities,L,Value,WMN,Women,3.7,,E,,PC,Percentage,0,Units,,
DATAFLOW,OECD:DF_BLI2015(1.0),Better Life Index - Edition 2015,I,RUS,Russia,HO_BASE,Dwellings without basic facilities,L,Value,WMN,Women,15.1,,E,,PC,Percentage,0,Units,,
DATAFLOW,OECD:DF_BLI2015(1.0),Better Life Index - Edition 2015,I,SVN,Slovenia,HO_BASE,Dwellings without basic facilities,L,Value,WMN,Women,0.5,,E,,PC,Percentage,0,Units,,
DATAFLOW,OECD:DF_BLI2015(1.0),Better Life Index - Edition 2015,I,AUS,Australia,HO_HISH,Housing expenditure,L,Value,TOT,Total,20,,A,,PC,Percentage,0,Units,,
DATAFLOW,OECD:DF_BLI2015(1.0),Better Life Index - Edition 2015,I,AUT,Austria,HO_HISH,Housing expenditure,L,Value,TOT,Total,21,,A,,PC,Percentage,0,Units,,
DATAFLOW,OECD:DF_BLI2015(1.0),Better Life Index - Edition 2015,I,BEL,Belgium,HO_HISH,Housing expenditure,L,Value,TOT,Total,21,,A,,PC,Percentage,0,Units,,
DATAFLOW,OECD:DF_BLI2015(1.0),Better Life Index - Edition 2015,I,CAN,Canada,HO_HISH,Housing expenditure,L,Value,TOT,Total,21,,A,,PC,Percentage,0,Units,,
DATAFLOW,OECD:DF_BLI2015(1.0),Better Life Index - Edition 2015,I,CZE,Czechia,HO_HISH,Housing expenditure,L,Value,TOT,Total,26,,A,,PC,Percentage,0,Units,,
DATAFLOW,OECD:DF_BLI2015(1.0),Better Life Index - Edition 2015,I,DNK,Denmark,HO_HISH,Housing expenditure,L,Value,TOT,Total,24,,A,,PC,Percentage,0,Units,,
DATAFLOW,OECD:DF_BLI2015(1.0),Better Life Index - Edition 2015,I,FIN,Finland,HO_HISH,Housing expenditure,L,Value,TOT,Total,22,,A,,PC,Percentage,0,Units,,
DATAFLOW,OECD:DF_BLI2015(1.0),Better Life Index - Edition 2015,I,FRA,France,HO_HISH,Housing expenditure,L,Value,TOT,Total,21,,A,,PC,Percentage,0,Units,,
DATAFLOW,OECD:DF_BLI2015(1.0),Better Life Index - Edition 2015,I,DEU,Germany,HO_HISH,Housing expenditure,L,Value,TOT,Total,21,,A,,PC,Percentage,0,Units,,
DATAFLOW,OECD:DF_BLI2015(1.0),Better Life Index - Edition 2015,I,GRC,Greece,HO_HISH,Housing expenditure,L,Value,TOT,Total,25,,A,,PC,Percentage,0,Units,,
DATAFLOW,OECD:DF_BLI2015(1.0),Better Life Index - Edition 2015,I,HUN,Hungary,HO_HISH,Housing expenditure,L,Value,TOT,Total,20,,A,,PC,Percentage,0,Units,,
DATAFLOW,OECD:DF_BLI2015(1.0),Better Life Index - Edition 2015,I,ISL,Iceland,HO_HISH,Housing expenditure,L,Value,TOT,Total,24,,E,,PC,Percentage,0,Units,,
DATAFLOW,OECD:DF_BLI2015(1.0),Better Life Index - Edition 2015,I,IRL,Ireland,HO_HISH,Housing expenditure,L,Value,TOT,Total,19,,A,,PC,Percentage,0,Units,,
DATAFLOW,OECD:DF_BLI2015(1.0),Better Life Index - Edition 2015,I,ITA,Italy,HO_HISH,Housing expenditure,L,Value,TOT,Total,24,,A,,PC,Percentage,0,Units,,
DATAFLOW,OECD:DF_BLI2015(1.0),Better Life Index - Edition 2015,I,JPN,Japan,HO_HISH,Housing expenditure,L,Value,TOT,Total,22,,A,,PC,Percentage,0,Units,,
DATAFLOW,OECD:DF_BLI2015(1.0),Better Life Index - Edition 2015,I,KOR,Korea,HO_HISH,Housing expenditure,L,Value,TOT,Total,16,,A,,PC,Percentage,0,Units,,
DATAFLOW,OECD:DF_BLI2015(1.0),Better Life Index - Edition 2015,I,LUX,Luxembourg,HO_HISH,Housing expenditure,L,Value,TOT,Total,21,,E,,PC,Percentage,0,Units,,
DATAFLOW,OECD:DF_BLI2015(1.0),Better Life Index - Edition 2015,I,MEX,Mexico,HO_HISH,Housing expenditure,L,Value,TOT,Total,21,,A,,PC,Percentage,0,Units,,
DATAFLOW,OECD:DF_BLI2015(1.0),Better Life Index - Edition 2015,I,NLD,Netherlands,HO_HISH,Housing expenditure,L,Value,TOT,Total,19,,A,,PC,Percentage,0,Units,,
DATAFLOW,OECD:DF_BLI2015(1.0),Better Life Index - Edition 2015,I,NZL,New Zealand,HO_HISH,Housing expenditure,L,Value,TOT,Total,23,,E,,PC,Percentage,0,Units,,
DATAFLOW,OECD:DF_BLI2015(1.0),Better Life Index - Edition 2015,I,NOR,Norway,HO_HISH,Housing expenditure,L,Value,TOT,Total,17,,A,,PC,Percentage,0,Units,,
DATAFLOW,OECD:DF_BLI2015(1.0),Better Life Index - Edition 2015,I,POL,Poland,HO_HISH,Housing expenditure,L,Value,TOT,Total,21,,E,,PC,Percentage,0,Units,,
DATAFLOW,OECD:DF_BLI2015(1.0),Better Life Index - Edition 2015,I,PRT,Portugal,HO_HISH,Housing expenditure,L,Value,TOT,Total,19,,A,,PC,Percentage,0,Units,,
DATAFLOW,OECD:DF_BLI2015(1.0),Better Life Index - Edition 2015,I,SVK,Slovak Republic,HO_HISH,Housing expenditure,L,Value,TOT,Total,26,,A,,PC,Percentage,0,Units,,
DATAFLOW,OECD:DF_BLI2015(1.0),Better Life Index - Edition 2015,I,ESP,Spain,HO_HISH,Housing expenditure,L,Value,TOT,Total,22,,A,,PC,Percentage,0,Units,,
